ID;GERMAN;ENGLISH
1;eine DVD schauen;watch a DVD 
2;nichts tuen;do nothing 
3;eine Paty schmeißen;have a party
4;Zimmer aufräumen;tidy your room
5;Baskeball spielen;play basketball 
6;bei einem Freund übernachten;stay at a friend's house
7;einkauf erledigen;do the shopping
8;Hausaufgaben machen;do your homework 
9;aufräumen;tidy your room
10;stattdessen;instead 
11;sich entspannen;take it easy 
12;sich schämen;(be) ashamed
13;Ausrede;excuse 
14;sich treffen;meet up 
15;sich nicht wohlfühlen;not feel well
16;eine Lüpge erzählen;tell a lie
17;zu bruch fahren;crash 
18;Fahrprüfung;driving test
19;könnte;might
20;vermissen;miss 
21;in schwierigkeiten geraten;get into trouble 
22;verkleiden;fancy dress 
23;Mantel;coat 
24;Weltraum station;space station 
25;Galaxi;galaxy 
26;Alien;alien 
27;Explosion;explode 
28;UFO;UFO 
29;Himmel;sky 
30;Erde;earth 
31;Astronaut;astronaut 
32;landen;land 
33;Zeitmachine;time machine 
34;universum;universae 
35;raumschifrakete;spaceship 
36;starten;take off 
37;bellen;bark 
38;Besen;broom 
39;Mistkübel;dustbin
40;riesengroß;huge
41;zeitbrauchen;take time 
42;reise;journey 
43;einer nach dem anderen;one by one 
44;kehren;seed 
45;samen;sweep 
46;licht;light 
47;Weltraum;space
48;Fälschung;fake
49;sogar;even
50;streich Täuschung;hoax
51;Untersuchen;investigation 
52;Foto (grafie);photograph 
53;Wistensfaftler;scentist 
54;absolut;absolutely 
55;vernichten;destroy
56;aussehen wie;look like 
57;die Führung übernemen;take over
58;Knopf;buttom 
59;Bekquem;comfortable 
60;reagieren auf;react
61;Wie schade;Waht a shame
62;Leitungswasser;mineral water 
63;Pfirsich;peaches 
64;Zwetschens;plums
65;Birnern;pears
66;Weintrauben;graps 
67;Erdbeeren;strawberries
68;Pilze;mushrooms 
69;Salat;cabbages 
70;Oliven;olives 
71;Putenfleisch;turkey 
72;schweine Bauchfleisch;pork chops 
73;Lamm;lamb 
74;Schinken;ham 
75;Würsterln;sausages
76;Koch;chef
77;Menü;menu
78;Schüssel;bowl
79;Kellnerin;waitress
80;Kellner;waiter 
81;bestellen;order
82;Paltschinken;pancakes 
83;Kuchen;pie 
84;Korb;basket 
85;Stück;slice
86;Hauptgang;main courser 
87;Vorspeise;starter
88;Sofort;straightaway 
89;Paar;couple
90;servieren;serve
91;Eintopf;stew
92;übriegens;by the way
93;es ist überhaupt kein problem;it`s no touble at all
94;Pyramiede;pyramide 
95;Sphinx;sphinx
96;Grab;tomb 
97;Sandalen;sandal 
98;Barfuß;barefoot
99;Palme;palm
100;nackt;naked
101;Pharao;pharaoh 
102;Geheiligste Tier;sacred animal 
103;Ägypthen;epyptain
104;Papyrus;papyrus
105;Hieroglyphen;hieroghlyphics
106;Sklaven;slave 
107;Tempel;temple
108;Horn;horn 
109;Bauer;farmer 
110;Leder;leather
111;Rind;cattel 
112;Oxe;ox 
113;Schaf;sheep
114;Ziege;goat 
115;Wolle;wool
116;Weberin;weaver
117;Tänzerin;dancer
118;Musikere;musican 
119;Juggler;juggler
120;Akrobat;acrobat 
121;Soldat;soldier
122;Wissenschaftler;scientist 
123;Handarbeiter;workmann
124;(ur-) alt;acient
125;eigentlich;actually 
126;Bad;bath
127;Kreuz;cross
128;Gans;goos(pl.Gees)
129;Mensch;human 
130;erfinden;invent 
131;meistens;mostly
132;Prozent(%);per cent(%)
133;Pflanze;plant
134;vermutlich;probably
135;Religion;religion
136;betrügerrisch;tricky
137;Wert Legen auf;care about
138;Fett;fat 
139;Schzmuck;jewellery
140;Blatt;leaf
141;Leicht;light 
142;Aussehen;looks
143;aus Leder gemacht;Made of leather
144;Schmelzen;melt
145;bezahlen;pay (for)
146;verkaufen;sell
147;riechen;smell
148;Arbeiter/in;worker 
149;tatsächlich;indeed
150;geboren;born 
151;Wage;cheek
152;entdecken;discover 
153;Engländer;Englischman
154;vool von;full of
155;bewachen;guard
156;interessiert an;interested in 
157;Geist;spirit
158;Stufe;step
159;Wunde;wound
160;auswählen;choose
161;Marmelade;jam
162;Zentrum;centre
163;füllen;fill
164;Gruppe;group 
165;Sekunde;secend 
166;Taschenlampe;troch
167;Gang;corridor
168;Hinfallen;fall over
169;schockiert;shocked
170;Stimme;voice
171;Weit;wide
172;Blätter;leaves
